"Group","Gruppe"
"Description","Beschreibung"
"Executed At","Ausgeführt am"
"Result","Resultat"
"Result description","Beschreibung Resultat"
"Tasks successfully performed","Aufgaben erfolgreich durchgeführt"
"Tasks successfully deleted","Aufgaben erfolgreich gelöscht"
"Group Tasks successfully deleted","Aufgabengruppe erfolgreich gelöscht"
"Background Tasks","Hintergrund-Aufgaben"
"Clear all Tasks","Alle Aufgaben entfernen"
"Clear group Tasks","Alle Aufgabengruppen entfernen"
"Please wait until tasks are complete...","Bitte warten Bearbeitung läuft"
"General","Allgemein"
"Max Execution Time","Maximale Duchrführungszeit"
"Delete failed Tasks ?","Fehlerhafte Aufgaben löschen?"
"History Duration","Verlaufsdauer"
"Developper Email Address","E-Mail-Adresse für Warnhinweis bei Fehler"
"Debug Mode","Prüfmodus"
"Immediate Mode","Sofort-Modus"
"Store stack trace","Spuraufeichnung speichern"
"Replay","Wiederholen"