"Display / Hide Comments","Anzeigen / Ausblenden Kommentare"
"Select","Auswählen"
"All Tasks/Events","Alle Aufgaben"
"Late Tasks/Events","Aufgaben in Verzug"
"My Tasks","Meine Aufgaben"
"Author","Autor"
"Target","Ziel"
"Show/Hide","Anzeigen/Ausblenden"
"Show / Hide New Task","Anzeigen / Ausblenden neue Aufgabe"
"Notification Date","Benachrichtigungsdatum"
"Created at ","Erstellt am"
"Notify","Benachrichtigen"
"Organizer","Organizer"
"Entity","Einheit"
"Created at ","Erstellt am"
"Notify Target","Ziel benachrichtigen"
"Notification Date","Benachrichtigungsdatum"
"Origin","Herkunft"
"Priority","Priorität"
"Target","Ziel"
"Notify","Benachrichtigen"
"Dead line","Enddatum"
"Category","Kategorie"
"Complete","Vollständig"
"Caption","Beschriftung"
"Description","Beschreibung"
"Show / Hide New Task","Anzeigen / Ausblenden neue Aufgabe"
"My Dashboard","Meine Übersicht"