"Planning","Planung"
"Your order should be delivered on <b>%s</b>","Ihre Bestellung sollte ausgeliefert werden am <b>%s</b>"
"At worst  we commit you deliver on <b>%s</b>","Wir beliefern Sie bis spätestens <b>%s</b>"
"Those information implies we receive you payment under %s days","Diese Informationen setzen voraus das wir Ihre Zahlung innerhalb %s Tagen erhalten"
"Prepare","Vorbereiten"
"Ship","Versand"
"Delivery","Lieferung"
"No planning","Keine Planung"
"Planning saved","Planung gespeichert"
"Planning reseted","Planung initialisiert"
"Planning created","Planung erstellt"
"Planning updated","Planung aktualisiert"
"New range added","Neuer Bereich hinzugefügt"
"Data saved","Daten gespeichert"
"Carriers list updated","Liste der Versender aktualisiert"
"Average supply delay : %s days","Durchschnittliche Beschaffungsdauer : %s Tage"
"Average supply delay : ","Durchschnittliche Beschaffungsdauer :"
"Order placed on ","Bestellt am "
"Payment validated on ","Zahlung bestätigt am "
"From value must be lower than to value","Der Von-Wert muss niedriger sein als der Bis-Wert"
"Ranges must be distinct","Die Bereiche dürfen nicht überlappen"
"Product availability ranges","Produkt-Verfügbarkeit Bereiche"
"Add Range","Bereich hinzufügen"
"Default Label","Standard-Titel"
"days","Tage"
"Planning is not available yet","Planung ist noch nicht verfügbar"
"Click here to force planning creation","Hier klicken um Planung zu erstellen"
"Anounced delivery date","Bestätigtes Lieferdatum"
"Anounced Max delivery date","Bestätigtes spätestes Lieferdatum"
"'Delivery<br>planed to","Lieferung vorgesehen am"
"Validated","Bestätigt"
"Product<br>Supply","Produktbedarf"
"Assembly /<br>Preparation","Fertigung/Vorbereitung"
"Exceptions","Ausnahmen"
"Shipping Delay","Versandverzögerung"
"Order placed","Bestellung aufgegeben"
"Considered on","Erwartet am"
"Delivery<br>planed to","Lieferung geplant am"
"Sales Order Planning","Verkaufsplanung"
"Order Consideration Date Calculation","Berechnung des Bestellvorschlagsdatums"
"Consider Order when placed","Bestellung berücksichtigen wenn erstellt"
"Consider Order when invoiced","Bestellung berücksichtigen wenn berechnet"
"Consider Order on Payment Validated","Bestellung berücksichtigen wenn Zahlung bestätigt"
"Include holy days","Feiertage einkalkulieren"
"Consider Order for Tomorow if placed after","Bestellung am nächsten Tag berücksichten wenn bestellt nach"
"(hour with 2 digits)","(Stunde mit 2 Stellen)"
"Order Ready to Prepare Date Calculation","Kalkulation wann Bestellung bereit zum Rüsten"
"Avoid holy days","Feiertage vermeiden"
"Worst date calculation Mode","Berechnungsmodus für Risiko-Datum"
"Worst date calculation value","Kalkulationswert für Risiko-Datum"
"Order Preparation Duration","Dauer für Bestellvorbereitung"
"Default Shipping Delay","Standard Versandzeit"
"Order Shipping Date Calculation","Versanddatum-Berechnung"
"Order Delivery Date Calculation","Lieferdatum-Berechnung"
"Quote options","Weitere Optionen"
"Immediate payment methods","Sofort-Zahlungsmethoden"
"Delayed payment method delay","Verzögerung bei Nicht-Sofort-Zahlungsmethoden"
"Show planning in Cart","Planung im Warenkorb anzeigen"
"Show debug information in Cart","Debug-Informationen im Warenkorb anzeigen"
"Show planning in frontend Sales History","Planung in der Frontend-History anzeigen"
"Sku","Sku"
"Product","Produkt"
"Available Qty","Verfügbare Menge"
"Supply Delay","Lieferzeit"
"Allow backorders","Bestellungen ohne Lagerbestand erlauben"
"Supply date","Lieferdatum"
"Out of stock Period","Nicht auf Lager Periode"
"Is Saleable","Ist verkäuflich"
"Status","Status"
"View","Anzeigen"
"Refresh","Aktualisieren"
"In stock","Auf Lager"
"Available under delay","Verfügbar mit Verzögerung"
"Back in stock at date","Wieder auf Lager am"
"Out of stock and not available until","Nicht auf Lager bis"
"Out of stock without information","Nicht auf Lager ohne Information"
"Undefined","Nicht definiert"
"Product Availability Statuses","Produktverfügbarkeits-Statusse"
"Availability Status Refreshed","Verfügbarkeitsstatus aktualisiert"
"Out Of Stock Period","Nicht auf Lager Periode"
"From Date","Von Datum"
"To Date","Bis Datum"
"Enabled","Aktiviert"
"Refresh products availability statuses","Produkt-Verfügbarkeitsstatusse aktualisieren"
"From : %s","Von : %s"
"Debut : %s","Ende : %s"
"Back in stock at %s","Wieder auf Lager am %s"
"In Stock","Auf Lager"
"Out of stock until %s","Nicht auf Lager bis %s"
"Out of Stock","Nicht auf Lager"
"No stock information available","Keine Lagerbestandsinformation verfügbar"
"Delivery date","Lieferdatum"
"Quote for today<br>","Schätzung für heute<br>"
"No payment method<br>","Keine Zahlungsmethode definiert"
"Beginning date is : ","Startdatum : "
"Full stock estimated to %s <br>","Produkt auf Lager ca. am %s <br>"
"add %s days to prepare order<br>","%s Tage addieren um die Bestellung vorzubereiten"
"Shipping date estimated to %s <br>","Versanddatum ca. am %s <br>"
"Delivery date estimated to %s <br>","Lieferdatum ca. am %s <br>"
"add %s days to calculate max date<br>","%s Tage addieren für max. Datum<br>"
"Availability Status","Status Verfügbarkeit"
"Available qty","Menge Verfügbar"
"Supply delay","Lieferzeit"
"Allow Backorders","Bestellungen ohne Lagerbestand erlauben"
"Out of stock period","Nicht auf Lager Periode"
"Is saleable","Ist verfügbar"
"Available date","Verfügbar am"
"Late orders","Bestellungen im Rückstand"
"Shipping name","Lieferung"
"Missing products","Fehlende Produkte"
"Initial delivery date","Ursprüngliches Lieferdatum"
"Estimated delivery date","Geschätztes Lieferdatum"
"Late","Verspätung"
"Order #","Bestellung #"