" and "," and "
"%s User Guide","%s User Guide"
"%s::update() - this function is deprecated","%s::update() - this function is deprecated"
"3rd Party Extensions","3rd Party Extensions"
"<b>Note: </b> View <a href=""%s"" target=""_blank"">product page</a> to see any available addon features","<b>Note: </b> View <a href=""%s"" target=""_blank"">product page</a> to see any available addon features"
"<b>Warning: </b>There are Extendware extensions that have their module output disabled in System -> Configuration -> Advanced. You can disable extensions in Extendware -> Manage Extensions -> Overview if needed.","<b>Warning: </b>There are Extendware extensions that have their module output disabled in System -> Configuration -> Advanced. You can disable extensions in Extendware -> Manage Extensions -> Overview if needed."
"<u>Enterprise only.</u> Selecting this will ignore staging Web sites when performing licensing checks. It is slightly slower than not enabling it so it is disabled unless needed.","<u>Enterprise only.</u> Selecting this will ignore staging Web sites when performing licensing checks. It is slightly slower than not enabling it so it is disabled unless needed."
[none],[none]
"Access denied or nothing to configure","Access denied or nothing to configure"
Action,Action
Actions,Actions
"Add after","Add after"
"Admin Menu Location","Admin Menu Location"
"After a config section has been shown this number of times, the notice will disappear","After a config section has been shown this number of times, the notice will disappear"
"After a configuration screen has been saved this number of times, then the notice that appears above the configuration screen that tells you that some fields may have helpful hints (such as this tooltip) will be hidden.","After a configuration screen has been saved this number of times, then the notice that appears above the configuration screen that tells you that some fields may have helpful hints (such as this tooltip) will be hidden."
"All Extensions","All Extensions"
Always,Always
"An error occurred while flushing the cache","An error occurred while flushing the cache"
"An error occurred while saving this configuration:","An error occurred while saving this configuration:"
"An extension may be disabled manually in Extendware -> Manage Extensions -> Overview or it may become disabled due to a licensing issue. Enable this to be notified when an extension is disabled.","An extension may be disabled manually in Extendware -> Manage Extensions -> Overview or it may become disabled due to a licensing issue. Enable this to be notified when an extension is disabled."
Appearance,Appearance
"Are you sure you want to change read state?","Are you sure you want to change read state?"
"Are you sure you want to delete message?","Are you sure you want to delete message?"
"Are you sure you want to flush the cache?","Are you sure you want to flush the cache?"
"Are you sure you want to mark message as read?","Are you sure you want to mark message as read?"
"Are you sure?","Are you sure?"
"Arguments are not supported for option model special methods","Arguments are not supported for option model special methods"
"Ask us for more ways that you can improve your store!","Ask us for more ways that you can improve your store!"
"At least one section must be selected","At least one section must be selected"
Automatic,Automatic
"Automatic or always is usually best. Automatic will avoid notification after upgrading.","Automatic or always is usually best. Automatic will avoid notification after upgrading."
"Automatically Disable Extensions","Automatically Disable Extensions"
Back,Back
"Base Path","Base Path"
"Big Image","Big Image"
Body,Body
Caller,Caller
"Can only read the default config scope when in fallback storage mode","Can only read the default config scope when in fallback storage mode"
"Cannot change module status. Please manually disable module","Cannot change module status. Please manually disable module"
"Cannot find configuration files for module: %s","Cannot find configuration files for module: %s"
"Cannot remove the base directory: %s","Cannot remove the base directory: %s"
"Cannot run action when store is compiled","Cannot run action when store is compiled"
"Cannot write to config file: %s","Cannot write to config file: %s"
"Cannot write to config when in fallback mode","Cannot write to config when in fallback mode"
Category,Category
"Change state","Change state"
"Changing module status is disabled in the demo","Changing module status is disabled in the demo"
"Choose how the help popups are triggered on configuration pages","Choose how the help popups are triggered on configuration pages"
"Choose how the help popups are triggered on form pages","Choose how the help popups are triggered on form pages"
Class,Class
"Class (%s) should never be loaded more than once","Class (%s) should never be loaded more than once"
"Class Key","Class Key"
"Class Rewrites","Class Rewrites"
Code,Code
"Code Pool","Code Pool"
Community,Community
"Community / Help Link","Community / Help Link"
"Compilation is disabled because compilation has been rewritten by an extension that can cause compatability issues. Deleting this rewrite may solve the issue: %s","Compilation is disabled because compilation has been rewritten by an extension that can cause compatability issues. Deleting this rewrite may solve the issue: %s"
"Config Help Notice Threshold","Config Help Notice Threshold"
"Config Help Trigger","Config Help Trigger"
Configuration,Configuration
"Configuration could not be saved. Field named ""%s"" was invalid","Configuration could not be saved. Field named ""%s"" was invalid"
Configure,Configure
"Configure ","Configure "
"Constraint #%s: %s","Constraint #%s: %s"
"Context Information","Context Information"
"Copied file is corrupted: %s","Copied file is corrupted: %s"
Core,Core
"Could not change to directory: %s","Could not change to directory: %s"
"Could not copy file %s to %s","Could not copy file %s to %s"
"Could not create directory %s","Could not create directory %s"
"Could not create directory: %s","Could not create directory: %s"
"Could not delete directory: %s","Could not delete directory: %s"
"Could not delete log file","Could not delete log file"
"Could not delete report file","Could not delete report file"
"Could not determine redirect path","Could not determine redirect path"
"Could not enable module (%s) because license or serial is invalid","Could not enable module (%s) because license or serial is invalid"
"Could not find option model in %s for %s","Could not find option model in %s for %s"
"Could not move file %s to %s","Could not move file %s to %s"
"Could not unencrypt field (%s) with provided decryption keys","Could not unencrypt field (%s) with provided decryption keys"
"Could not unlink file: %s","Could not unlink file: %s"
"Could not write file: %s","Could not write file: %s"
Created,Created
Critical,Critical
critical,critical
Cronjob,Cronjob
"Cronjob Scheduled Tasks","Cronjob Scheduled Tasks"
"Cronjob Viewer","Cronjob Viewer"
Cronjobs,Cronjobs
CSV,CSV
"Current Configuration Scope:","Current Configuration Scope:"
"Current timestamp is %s","Current timestamp is %s"
"Database Fallback","Database Fallback"
date,date
"Date Sent","Date Sent"
Delete,Delete
"Delete Efficiently","Delete Efficiently"
Demo,Demo
"Dependency Information","Dependency Information"
Dependents,Dependents
Developer,Developer
"Diagnostic Information","Diagnostic Information"
"Did you know purchasing %s can improve your store?","Did you know purchasing %s can improve your store?"
"Disable compilation if the compiler process has been rewritten by a 3rd party.","Disable compilation if the compiler process has been rewritten by a 3rd party."
"Disable extension if it is violating its license. If the extension is not disabled it will cause errors in your store.","Disable extension if it is violating its license. If the extension is not disabled it will cause errors in your store."
"Disable On Violation","Disable On Violation"
"Disable Unknown Compiler","Disable Unknown Compiler"
Disabled,Disabled
"Disabled %s because license is about to expire","Disabled %s because license is about to expire"
"Disabled %s because license is not respected","Disabled %s because license is not respected"
"Disabled Extensions","Disabled Extensions"
"Disabling this will allow the writing of file paths even if you use symlinks.","Disabling this will allow the writing of file paths even if you use symlinks."
Download,Download
Edit,Edit
Email,Email
"Enable / Disable","Enable / Disable"
"Enable / disable the highlighting of the Extendware menu item in the admin menu","Enable / disable the highlighting of the Extendware menu item in the admin menu"
"Enable / disable the user guide button","Enable / disable the user guide button"
"Enable or disable updating licenses on admin login","Enable or disable updating licenses on admin login"
"Enable or disable updating licenses via cronjob","Enable or disable updating licenses via cronjob"
"Enable this to be notified if an Extendware extension is disabled","Enable this to be notified if an Extendware extension is disabled"
"Enable this to be notified if files that Extendware depends on are not writeable when they should be","Enable this to be notified if files that Extendware depends on are not writeable when they should be"
"Enable this to be notified if licenses have not been able to update or if a lease / trial term is about to end. <b>Disabling this is dangerous</b>","Enable this to be notified if licenses have not been able to update or if a lease / trial term is about to end. <b>Disabling this is dangerous</b>"
"Enable this to be notified if licenses will expire shortly. <b>Disabling this is dangerous</b>","Enable this to be notified if licenses will expire shortly. <b>Disabling this is dangerous</b>"
Enabled,Enabled
"Encoder License","Encoder License"
"Encoder license file is invalid. If you are confident the license is valid, you can force the license to be accepted by going to Extendware -> Manage Extensions -> Extendware Core -> Configure, for each of the 3 Verify Integrity options set the value to Disabled. Try to update the license again after you do this and then re-enable Verify Integrity as it protects your store.","Encoder license file is invalid. If you are confident the license is valid, you can force the license to be accepted by going to Extendware -> Manage Extensions -> Extendware Core -> Configure, for each of the 3 Verify Integrity options set the value to Disabled. Try to update the license again after you do this and then re-enable Verify Integrity as it protects your store."
"Encoder license file path has been disallowed due to security. You can disable this extra security in Extendware -> Manage Extensions -> Extendware Core -> Configure, click on Licensing, under Encoder License select Disable for Verify File Path","Encoder license file path has been disallowed due to security. You can disable this extra security in Extendware -> Manage Extensions -> Extendware Core -> Configure, click on Licensing, under Encoder License select Disable for Verify File Path"
"Encoder License Information","Encoder License Information"
"Encoder license updater could not write license file Please ensure that /var/extendware/system/ and all sub-directories/files have 0777 file permissions.","Encoder license updater could not write license file Please ensure that /var/extendware/system/ and all sub-directories/files have 0777 file permissions."
"Encoder license updater could not write license file. Please ensure that /var/extendware/system/ and all sub-directories/files have 0777 file permissions.","Encoder license updater could not write license file. Please ensure that /var/extendware/system/ and all sub-directories/files have 0777 file permissions."
"Encoder license updater did not receive the correct response item type","Encoder license updater did not receive the correct response item type"
Error,Error
"Error encountered. Ensure you have not deleted the files at /var/extendware. Please check your store log for details (/var/log/extendware/ewcore.log). [Extendware error: serial]","Error encountered. Ensure you have not deleted the files at /var/extendware. Please check your store log for details (/var/log/extendware/ewcore.log). [Extendware error: serial]"
"Error encountered. Please check your store log for details (/var/log/extendware/ewcore.log) [Extendware error: license]","Error encountered. Please check your store log for details (/var/log/extendware/ewcore.log) [Extendware error: license]"
"Error encountered. Please check your store log for details [Extendware error: elicense]","Error encountered. Please check your store log for details [Extendware error: elicense]"
"Event Observers","Event Observers"
"Exec Enabled","Exec Enabled"
Executed,Executed
Expiry,Expiry
"Export to:","Export to:"
Extendware,Extendware
"Extendware API could not complete request: %s","Extendware API could not complete request: %s"
"Extendware API could not decode response","Extendware API could not decode response"
"Extendware API did not return a valid payload","Extendware API did not return a valid payload"
"Extendware API returned a status different than ""success"": %s - %s","Extendware API returned a status different than ""success"": %s - %s"
"Extendware Core","Extendware Core"
"Extendware core cache includes CSS, JS, and overrides.","Extendware core cache includes CSS, JS, and overrides."
"EXTENDWARE EXTENSIONS","EXTENDWARE EXTENSIONS"
"Extendware Extensions","Extendware Extensions"
"Extendware Extensions Store","Extendware Extensions Store"
"Extendware Link","Extendware Link"
"Extendware Store","Extendware Store"
Extension,Extension
"Extension does not have any configuration to reset","Extension does not have any configuration to reset"
"Extension trial will end in %d day(s). <b>Please purchase the Extendware extension to continue using it.</b>","Extension trial will end in %d day(s). <b>Please purchase the Extendware extension to continue using it.</b>"
"Extension upgrade / support / access selected when ordering the extension will end in %d day(s). <b>Please extend your Extendware plan to continue using the extension.</b>","Extension upgrade / support / access selected when ordering the extension will end in %d day(s). <b>Please extend your Extendware plan to continue using the extension.</b>"
"Extension upgrade / support / access will end in %d day(s). <b>Please contact Extendware to renew your plan.</b>","Extension upgrade / support / access will end in %d day(s). <b>Please contact Extendware to renew your plan.</b>"
"Extensions %s does not exist","Extensions %s does not exist"
"Extensions Disabled","Extensions Disabled"
Fail,Fail
"Failed to get all licenses and serial for module","Failed to get all licenses and serial for module"
"Failed to update extension license. Please check <u>ewcore.log</u> in <a href=""%s"">Extendware -> System -> Logs -> Logs</a> for more information [<a href=""%s"">click here</a>]. The last log message is: %s","Failed to update extension license. Please check <u>ewcore.log</u> in <a href=""%s"">Extendware -> System -> Logs -> Logs</a> for more information [<a href=""%s"">click here</a>]. The last log message is: %s"
"Failed to update messages","Failed to update messages"
"Fallback config could not be parsed: %s","Fallback config could not be parsed: %s"
"Fallback config is invalid: %s","Fallback config is invalid: %s"
"Fallback storage could not be loaded","Fallback storage could not be loaded"
"Feature Information","Feature Information"
"Fetch Missing Licenses / Serial","Fetch Missing Licenses / Serial"
"Field contains invalid data: %s","Field contains invalid data: %s"
"File at %s should be either writable or deleted","File at %s should be either writable or deleted"
"File checksum failed: %s","File checksum failed: %s"
"File does not exist or is not readable: %s","File does not exist or is not readable: %s"
"File is not writeable: %s","File is not writeable: %s"
"File Path","File Path"
"File was modified since script execution: %s","File was modified since script execution: %s"
"Files such as module config files and licenses need to be writeable in order for Extendware to function optimally in all circumstances. If the files are not and this option is enabled, then a message will be shown in the admin header advising you to make these files writeable.","Files such as module config files and licenses need to be writeable in order for Extendware to function optimally in all circumstances. If the files are not and this option is enabled, then a message will be shown in the admin header advising you to make these files writeable."
Finished,Finished
"Flush Cache","Flush Cache"
"Flush Extendware Core Cache","Flush Extendware Core Cache"
"Form Help Trigger","Form Help Trigger"
From,From
General,General
"General Information","General Information"
"General Messages","General Messages"
"Get help for this page","Get help for this page"
"Get More Extensions","Get More Extensions"
Gift,Gift
"Have a look at <a href=""%s""><b>more great extensions</b></a> and improve your store!","Have a look at <a href=""%s""><b>more great extensions</b></a> and improve your store!"
"Header Recommendations","Header Recommendations"
Hover,Hover
ID,ID
Identifier,Identifier
"If an extension is in violation of its license it can automatically disable. This will prevent errors in your store. If you disable this, then the extension will still not run, but has a high chance of causing store errors.","If an extension is in violation of its license it can automatically disable. This will prevent errors in your store. If you disable this, then the extension will still not run, but has a high chance of causing store errors."
"If enabled the database will be used as a fallback if the license files cannot be found. Recommended especially in multi-server environments. <b>Note: </b>Disabling this is NOT recommended.","If enabled the database will be used as a fallback if the license files cannot be found. Recommended especially in multi-server environments. <b>Note: </b>Disabling this is NOT recommended."
"If enabled, then the <i>rm</i> command will be used to delete directories recursively.","If enabled, then the <i>rm</i> command will be used to delete directories recursively."
"If system compilation is enabled then you will not be able to change the status. If you change the status you will need re-run system compilation if you use system compilation.","If system compilation is enabled then you will not be able to change the status. If you change the status you will need re-run system compilation if you use system compilation."
"If the compiler is rewritten by a 3rd party then there is a good chance that running compilation will break your store. <u>Only disable this if you know what you are doing and know how to manually restore a store broken from compilation</u>","If the compiler is rewritten by a 3rd party then there is a good chance that running compilation will break your store. <u>Only disable this if you know what you are doing and know how to manually restore a store broken from compilation</u>"
"If you disable this option, then you may not be notified if your licenses have stopped updating. This can cause those extensions to become disabled, which may interrupt the operation of your store. Disable this with caution.","If you disable this option, then you may not be notified if your licenses have stopped updating. This can cause those extensions to become disabled, which may interrupt the operation of your store. Disable this with caution."
"If you do not have cron enabled (such as this is your development server), then enabling this option will ensure licenses still update without manually having to update licenses.","If you do not have cron enabled (such as this is your development server), then enabling this option will ensure licenses still update without manually having to update licenses."
"If you enabled an extension, you will need to logout and re-login before you can access it.","If you enabled an extension, you will need to logout and re-login before you can access it."
"Ignore staging Web sites when checking license.","Ignore staging Web sites when checking license."
"Ignore Staging Websites","Ignore Staging Websites"
Images,Images
"Improve Your Store","Improve Your Store"
Information,Information
Installation,Installation
"Installed Extensions","Installed Extensions"
Instance,Instance
"Invalid date passed to function","Invalid date passed to function"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Invalid scope entered for config item","Invalid scope entered for config item"
"Invalid sign passed to function","Invalid sign passed to function"
"Item #%s Information","Item #%s Information"
"Item does not exist","Item does not exist"
"Item does not exist or cannot be read","Item does not exist or cannot be read"
"items selected","items selected"
"Label click","Label click"
"Label hover","Label hover"
License,License
"License / Serial Expiring","License / Serial Expiring"
"License / Serial Failed Update","License / Serial Failed Update"
"License / Serials Update Issue","License / Serials Update Issue"
"License Information","License Information"
