"Display / Hide Comments","Mostrar / Ocultar Comentarios"
"Select","Seleccionar"
"All Tasks/Events","Todas las Tareas/Eventos"
"Late Tasks/Events","Tareas/Eventos Tard&iacute;os"
"My Tasks","Mis Tareas"
"Author","Autor"
"Target","Destino"
"Show/Hide","Mostrar/Ocultar"
"Show / Hide New Task","Mostrar / Ocultar Nueva Tarea"
"Notification Date","Fecha de Notificaci&oacute;n"
"Created at ","Creado en "
"Notify","Notificar"
"Organizer","Organizador"
"Entity","Entidad"
"Created at ","Creado en "
"Notify Target","Notificar a Destino"
"Notification Date","Fecha de Notificaci&oacute;n"
"Origin","Origen"
"Priority","Prioridad"
"Target","Destino"
"Notify","Notificar"
"Dead line","Fecha l&iacute;mite de pago"
"Category","Categor&iacute;a"
"Complete","Completada"
"Caption","Texto"
"Description","Descripci&oacute;n"
"Show / Hide New Task","Mostrar / Ocultar Nueva Tarea"
"My Dashboard","Mi Tablero"