"(hour with 2 digits)","(uur met 2 cijfers)"
"add %s days to calculate max date<br>","voeg %s dagen toe om de uiterste datum te berekenen<br>"
"add %s days to prepare order<br>","voeg %s dagen toe voor ordervoorbereiding<br>"
"Add Range","Range toevoegen"
"Allow Backorders","Backorders<br>toestaan"
"Allow backorders","Backorders<br>toestaan"
"Anounced delivery date","Aangekondigde leverdatum"
"Anounced Max delivery date","Aangekondigde uiterste leverdatum"
"Assembly /<br>Preparation","Assemblage /<br>Voorbereiding"
"At worst, we commit you deliver on <b>%s</b>","Wij bevestigen dat u uiterlijk <b>%s</b> aan ons levert"
"Availability Status Refreshed","Beschikbaarheidsstatus ververst"
"Availability Status","Beschikbaarheidsstatus"
"Available date","Datum<br>beschikbaar"
"Available qty","Aantal<br>beschikbaar"
"Available Qty","Aantal<br>beschikbaar"
"Available under delay","Beschikbaar met vertraging"
"Average supply delay : ","Gemiddelde bevoorradingsvertraging : "
"Average supply delay : %s days","Gemiddelde bevoorradingsvertraging : %s dagen"
"Avoid holy days","Vermijd vakantiedagen"
"Back in stock at %s","Weer in voorraad op %s"
"Back in stock at date","Weer in voorraad op"
"Beginning date is : ","Begindatum is : "
"Carriers list updated","Transporteurslijst is bijgewerkt"
"Click here to force planning creation","Klik hier om de aanmaak van de planning te forceren"
"Consider Order for Tomorow if placed after","Verwerk order op volgende werkdag indien geplaatst na"
"Consider Order on Payment Validated","Verwerk order indien betaling goedgekeurd"
"Consider Order when invoiced","Verwerk order indien gefactureerd"
"Consider Order when placed","Verwerk order indien geplaatst"
"Considered on","Verondersteld op"
"Data saved","Gegevens opgeslagen"
"days","Dagen"
"Debut : %s","Start : %s"
"Default Label","Standaard label"
"Default Shipping Delay","Standaard verzendvertraging"
"Delayed payment method delay","Methode voor vertraagde betaling"
"Delivery date estimated to %s <br>","Geschatte afleveringsdatum is %s <br>"
"Delivery date","Afleveringsdatum"
"Delivery","Aflevering"
"Delivery<br>planed to","Aflevering<br>gepland op"
"Enabled","Ingeschakeld"
"Estimated delivery date","Geschatte afleverdatum"
"Exceptions","Uitzonderingen"
"From : %s","Vanaf : %s"
"From Date","Vanaf datum"
"From value must be lower than to value","Vanaf waarde moet kleiner zijn dan tot en met waarde"
"Full stock estimated to %s <br>","Product is vermoedelijk vanaf %s weer in voorraad<br>"
"Immediate payment methods","Directe betaling methodes"
"In Stock","In voorraad"
"In stock","In voorraad"
"Include holy days","Vakantiedagen meenemen"
"Initial delivery date","Oorspronkelijke afleverdatum"
"Is saleable","Is verkoopbaar"
"Is Saleable","Is<br>verkoopbaar"
"Late orders","Vertraagde orders"
"Late","Te laat"
"Missing products","Ontbrekende producten"
"New range added","Nieuwe range toegevoegd"
"No payment method<br>","Geen betaalmethode<br>"
"No planning","Geen planning"
"No stock information available","Geen voorraadgegevens beschikbaar"
"Order #","Order #"
"Order Consideration Date Calculation","Berekening van order verwerkingsdatum"
"Order Delivery Date Calculation","Berekening van order afleverdatum"
"Order placed on ","Order geplaatst op "
"Order placed","Order geplaatst"
"Order Preparation Duration","Order voorbereiding duur"
"Order Ready to Prepare Date Calculation","Berekening van datum order gereed voor voorbereiding"
"Order Shipping Date Calculation","Berekening van orderverzenddatum"
"Out of stock and not available until","Niet in voorraad en niet beschikbaar tot"
"Out of stock Period","Periode geen voorraad"
"Out of stock period","Periode geen voorraad"
"Out Of Stock Period","Periode geen voorraad"
"Out of stock until %s","Niet in voorraad tot %s"
"Out of stock without information","Niet in voorraad zonder informatie"
"Out of Stock","Niet in voorraad"
"Payment validated","Betaling goedgekeurd"
"Planning created","Planning aangemaakt"
"Planning is not available yet","Planning is nog niet beschikbaar"
"Planning reseted","Planning gereset"
"Planning saved","Planning opgeslagen"
"Planning updated","Planning bijgewerkt"
"Planning","Planning"
"Prepare","Voorbereiden"
"Product availability ranges","Product beschikbaarheid ranges"
"Product availability status is not available.","Product beschikbaarheid status is niet aanwezig"
"Product Availability Statuses","Product beschikbaarheid statussen"
"Product<br>Supply","Product<br>bevoorrading"
"Products","Producten"
"Quote for today<br>","Offerte voor vandaag<br>"
"Quote options","Offerte opties"
"Ranges must be distinct","Ranges moeten onderscheidend zijn"
"Refresh All","Alles verversen"
"Refresh only missing","Ververs alleen de ontbrekende"
"Refresh products availability statuses","Ververs de product beschikbaarheid statussen"
"Refresh","Verversen"
"Sales Order Planning","Verkooporderplanning"
"Ship","Verzenden"
"Shipping date estimated to %s <br>","Verzenddatum wordt geschat op %s <br>"
"Shipping Delay","Verzendvertraging"
"Shipping name","Aflevernaam"
"Show debug information in Cart","Toon debug informatie in winkelwagen"
"Show planning in Cart","Toon planning in winkelwagen"
"Show planning in frontend Sales History","Toon planning in verkoophistorie van klantaccount"
"Sku","Sku"
"Status","Status"
"Supply date","Bevoorradingsdatum"
"Supply Delay","Bevoorradingsvertraging"
"Supply delay","Bevoorradingsvertraging"
"Those information implies we receive you payment under %s days","Deze informatie gaat er vanuit dat uw we uw betaling binnen %s dagen ontvangen hebben"
"To Date","Einddatum"
"Undefined","Niet gedefinieerd"
"Validated","Goedgekeurd"
"View","Bekijk"
"Worst date calculation Mode","Rekenmethode voor berekening slechtste datum"
"Worst date calculation value","Waarde voor berekening slechtste datum"
"Your order should be delivered on <b>%s</b>","Uw order zou geleverd moeten worden op <b>%s</b>"
"Enable planning","Planning inschakelen"
"Shipped under %s days","Verzending binnen %s dagen"